party,date,avg,sd,eff_n,lower,upper,region
Bloc,2020-12-03,0.2771905035826083,0.037595187640391894,4.681075312280798,0.24825656762560744,0.30612443953960933,Quebec
Bloc,2020-12-04,0.27294973095238706,0.03907542079425657,4.6734874797966395,0.24288326807948907,0.303016193825285,Quebec
Bloc,2020-12-05,0.2690204251004252,0.04047126218653169,4.675504629301676,0.2379513684811394,0.30008948171971095,Quebec
Bloc,2020-12-06,0.2653406871918185,0.041850062500264636,4.679973902221694,0.2333142492464891,0.29736712513714797,Quebec
Bloc,2020-12-07,0.26736575475880625,0.04246512734535706,5.109938118515482,0.23636339044412152,0.29836811907349103,Quebec
Bloc,2020-12-08,0.26886400910961694,0.042899935271933906,5.454915949246447,0.23859246302977732,0.2991355551894566,Quebec
Bloc,2020-12-09,0.2700176148432665,0.04330856539925372,5.731531824070607,0.24022766703743006,0.2998075626491028,Quebec
Bloc,2020-12-10,0.27098594250998137,0.043765574427611253,5.9537464250645895,0.24146318104545134,0.3005087039745115,Quebec
Bloc,2020-12-11,0.2717907220716394,0.04418502932036462,6.149388106804759,0.24247171494079237,0.3011097292024864,Quebec
Bloc,2020-12-12,0.2762679511953558,0.04076360399584125,5.371852933035328,0.24660021690557804,0.30593568548513356,Quebec
Bloc,2020-12-13,0.2846032591398529,0.038464968905272325,4.926856451970606,0.255358394750949,0.3138481235287568,Quebec
Bloc,2020-12-14,0.29247339248038234,0.036308137874305924,4.511929050107051,0.263654917648949,0.3212918673118158,Quebec
Bloc,2020-12-15,0.29993631671939547,0.0342030298643341,4.123161112303073,0.2715889124728637,0.3282837209659274,Quebec
Bloc,2020-12-16,0.3062249853109265,0.030288638276617125,3.5222356133968176,0.2791991869695211,0.33325078365233185,Quebec
Bloc,2020-12-17,0.30861284005730716,0.030475653440362415,3.943244713416223,0.28339614329282103,0.3338295368217933,Quebec
Bloc,2020-12-18,0.30691591458641454,0.029704914602100126,4.057971328904779,0.28267477080672554,0.33115705836610354,Quebec
Bloc,2020-12-19,0.3055198852967708,0.02887970861038488,4.1718352305403155,0.28224707769185836,0.3287926929016832,Quebec
Bloc,2020-12-20,0.30432575958382285,0.0280228085165115,4.286273587875501,0.2820101531973549,0.32664136597029075,Quebec
Bloc,2020-12-21,0.3041274522280496,0.029044858097001514,4.625701159045898,0.2818870700498243,0.3263678344062749,Quebec
Bloc,2020-12-22,0.3038850063425006,0.029870488675614204,4.902235007095383,0.28167673799673254,0.3260932746882686,Quebec
Bloc,2020-12-23,0.30361841117286426,0.030676983134451302,5.119581858244368,0.28131019374065575,0.3259266286050728,Quebec
Bloc,2020-12-24,0.3033527741114227,0.03142395525711253,5.309903994730258,0.2809196251797148,0.3257859230431307,Quebec
Bloc,2020-12-25,0.30308286574716503,0.03219730599909991,5.463947657237464,0.28042752198845994,0.3257382095058701,Quebec
Bloc,2020-12-26,0.30282042343289806,0.03295485323384552,5.600233262953249,0.2799162809840065,0.32572456588178966,Quebec
Bloc,2020-12-27,0.3025662591755655,0.033709470371893036,5.721427159359624,0.27938544816890104,0.32574707018223004,Quebec
Bloc,2020-12-28,0.30233472083519985,0.034386276586101626,5.851974734596875,0.27895352655234734,0.3257159151180524,Quebec
Bloc,2020-12-29,0.3021128721034159,0.03507659384451499,5.973020062193477,0.27850421833489414,0.32572152587193776,Quebec
