district_code,district_name_english,district_name_french,party,candidate_last,candidate_first,candidate_middle,incumbent
12009,South Shore--St. Margaret's,South Shore--St. Margaret's,Green,Boudreau,Katie,Morris,N
12010,Sydney--Victoria,Sydney--Victoria,Liberal,Eyking,Mark,,Y
12010,Sydney--Victoria,Sydney--Victoria,Independent,Gallant,B. Chris,,N
12010,Sydney--Victoria,Sydney--Victoria,Conservative,MacDonald,Howie,,N
12010,Sydney--Victoria,Sydney--Victoria,Marijuana,Thériault,Cathy,,N
12010,Sydney--Victoria,Sydney--Victoria,NDP,Edwards,John,Hugh,N
12010,Sydney--Victoria,Sydney--Victoria,Green,Milburn,Chris,,N
12011,West Nova,Nova-Ouest,Liberal,Thibault,Robert,,Y
12011,West Nova,Nova-Ouest,Conservative,Carey,Jon,Charles,N
12011,West Nova,Nova-Ouest,Green,Granger,Matthew,,N
12011,West Nova,Nova-Ouest,NDP,Bull,Edmund,Arthur,N
13001,Acadie--Bathurst,Acadie--Bathurst,Liberal,Rousselle,Serge,,N
13001,Acadie--Bathurst,Acadie--Bathurst,Conservative,Bernard,Joel,E.,N
13001,Acadie--Bathurst,Acadie--Bathurst,NDP,Godin,Yvon,,Y
13001,Acadie--Bathurst,Acadie--Bathurst,Green,Lanteigne,Mario,,N
13002,Beauséjour,Beauséjour,Liberal,LeBlanc,Dominic,,Y
13002,Beauséjour,Beauséjour,Conservative,Vautour,Angela,,N
13002,Beauséjour,Beauséjour,Green,Girouard,Anna,,N
13002,Beauséjour,Beauséjour,NDP,Bourque,Omer,,N
13003,Fredericton,Fredericton,Liberal,Scott,Andy,,Y
13003,Fredericton,Fredericton,Conservative,Fox,Kent,,N
13003,Fredericton,Fredericton,Green,Letts,Daron,,N
13003,Fredericton,Fredericton,NDP,Carty,John,,N
13004,Fundy,Fundy,Liberal,Herron,John,,Y
13004,Fundy,Fundy,Conservative,Moore,Rob,,N
13004,Fundy,Fundy,Independent,Amos,David Raymond,,N
13004,Fundy,Fundy,Green,Bach,Karin,,N
13004,Fundy,Fundy,NDP,Hanratty,Pat,,N
13005,Madawaska--Restigouche,Madawaska--Restigouche,Liberal,D'Amours,Jean-Claude J.C.,,N
13005,Madawaska--Restigouche,Madawaska--Restigouche,NDP,Martin,Rodolphe,,N
13005,Madawaska--Restigouche,Madawaska--Restigouche,Conservative,Violette,Benoit,,N
13005,Madawaska--Restigouche,Madawaska--Restigouche,Green,Cyr,Jovette,,N
13006,Miramichi,Miramichi,Liberal,Hubbard,Charles,Isaac,Y
13006,Miramichi,Miramichi,NDP,Rousselle,Hilaire,,N
13006,Miramichi,Miramichi,Conservative,Morrison,Michael,J.,N
13006,Miramichi,Miramichi,Green,Sanipass,Garry,,N
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Liberal,Bradshaw,Claudette,,Y
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,NDP,Lapointe,Hélène,,N
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Conservative,LeBlanc,Jean,,N
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Green,Hamel,Judith,,N
13008,St. Croix--Belleisle,St. Croix--Belleisle,Liberal,Dunlap,Jim,,N
13008,St. Croix--Belleisle,St. Croix--Belleisle,Canadian Action,Szemerda,David,,N
13008,St. Croix--Belleisle,St. Croix--Belleisle,Conservative,Thompson,Greg,,Y
13008,St. Croix--Belleisle,St. Croix--Belleisle,Green,Millett,Erik,Matthew,N
13008,St. Croix--Belleisle,St. Croix--Belleisle,NDP,Webber,Patrick,,N
13009,Saint John,Saint John,Liberal,Zed,Paul,,N
13009,Saint John,Saint John,Marijuana,Wood,Jim,,N
13009,Saint John,Saint John,Conservative,McVicar,Bob,,N
13009,Saint John,Saint John,Independent,Oland,Tom,,N
13009,Saint John,Saint John,Green,Cormier,Jonathan,,N
13009,Saint John,Saint John,NDP,Albright,Terry,,N
13010,Tobique--Mactaquac,Tobique--Mactaquac,Liberal,Savoy,Andy,,Y
13010,Tobique--Mactaquac,Tobique--Mactaquac,Conservative,Allen,Mike,,N
13010,Tobique--Mactaquac,Tobique--Mactaquac,Green,Jones,Scott,,N
13010,Tobique--Mactaquac,Tobique--Mactaquac,NDP,Mapplebeck,Jason,,N
24001,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Liberal,Barrette,Gilbert,,Y
24001,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Conservative,Beauchesne,Bernard Hugues,,N
24001,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Bloc,Lemay,Marc,,N
24001,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Green,Rancourt,Patrick,,N
24001,Abitibi--Témiscamingue,Abitibi--Témiscamingue,NDP,Shushack,Dennis,,N
24002,Ahuntsic,Ahuntsic,Liberal,Bakopanos,Eleni,,Y
24002,Ahuntsic,Ahuntsic,Bloc,Mourani,Maria ,,N
24002,Ahuntsic,Ahuntsic,Conservative,Fortier,Jean,E.,N
24002,Ahuntsic,Ahuntsic,Marijuana,De Longchamp,F.X.,,N
24002,Ahuntsic,Ahuntsic,Marxist-Leninist,Fine,Marsha,,N
24002,Ahuntsic,Ahuntsic,Green,Tremblay,Lynette,,N
24002,Ahuntsic,Ahuntsic,NDP,Bergeron,Annick,,N
24003,Alfred-Pellan,Alfred-Pellan,Liberal,Allard,Carole-Marie,,Y
24003,Alfred-Pellan,Alfred-Pellan,NDP,Le Bel,Benjamin,,N
24003,Alfred-Pellan,Alfred-Pellan,Conservative,Raymond,Rosane,,N
24003,Alfred-Pellan,Alfred-Pellan,Independent,Desbois,Yves,,N
24003,Alfred-Pellan,Alfred-Pellan,Independent,Millette,Régent,,N
24003,Alfred-Pellan,Alfred-Pellan,Bloc,Carrier,Robert,,N
24003,Alfred-Pellan,Alfred-Pellan,Green,Verenka,Louis-Philippe,,N
24004,Argenteuil--Mirabel,Argenteuil--Mirabel,Liberal,Sabourin,Yves,,N
24004,Argenteuil--Mirabel,Argenteuil--Mirabel,NDP,Clark,Elisabeth,,N
24004,Argenteuil--Mirabel,Argenteuil--Mirabel,Green,Sabourin,Claude,,N
24004,Argenteuil--Mirabel,Argenteuil--Mirabel,Christian Heritage,Filion,Laurent,,N
24004,Argenteuil--Mirabel,Argenteuil--Mirabel,Conservative,McArthur,David H.,,N
24004,Argenteuil--Mirabel,Argenteuil--Mirabel,Bloc,Laframboise,Mario,,Y
24004,Argenteuil--Mirabel,Argenteuil--Mirabel,Marxist-Leninist,O'Grady,Michael,,N
24005,Beauce,Beauce,Liberal,Drouin,Claude,,Y
24005,Beauce,Beauce,Conservative,Guay,Alain,,N
24005,Beauce,Beauce,NDP,Giguère,Philippe,,N
24005,Beauce,Beauce,Bloc,Barbe,Jean-François,,N
24005,Beauce,Beauce,Green,Binette,Michel,,N
24006,Beauharnois--Salaberry,Beauharnois--Salaberry,Liberal,Marcil,Serge,,Y
24006,Beauharnois--Salaberry,Beauharnois--Salaberry,Conservative,Bellemare,Dominique,,N
24006,Beauharnois--Salaberry,Beauharnois--Salaberry,Marijuana,Malboeuf,Félix,,N
24006,Beauharnois--Salaberry,Beauharnois--Salaberry,Bloc,Boire,Alain,,N
24006,Beauharnois--Salaberry,Beauharnois--Salaberry,Green,Pelletier,Rémi,,N
24006,Beauharnois--Salaberry,Beauharnois--Salaberry,NDP,Alakkattussery,Ligy,,N
24007,Beauport,Beauport,Liberal,Dawson,Dennis,,N
24007,Beauport,Beauport,Bloc,Simard,Christian,,N
24007,Beauport,Beauport,Conservative,Asselin,Stephan,,N
24007,Beauport,Beauport,Marijuana,Frichot,Nicolas,,N
24007,Beauport,Beauport,Green,Desharnais,Jeannine,T.,N
24007,Beauport,Beauport,NDP,Trégan,Xavier,,N
24008,Berthier--Maskinongé,Berthier--Maskinongé,Liberal,Thibault,Laurier,,N
24008,Berthier--Maskinongé,Berthier--Maskinongé,NDP,McKinnon,Denis,,N
24008,Berthier--Maskinongé,Berthier--Maskinongé,Green,Labrecque,Eric,,N
24008,Berthier--Maskinongé,Berthier--Maskinongé,Conservative,Fortier,Ann Julie,,N
24008,Berthier--Maskinongé,Berthier--Maskinongé,Bloc,André,Guy,,N
24009,Bourassa,Bourassa,Liberal,Coderre,Denis,,Y
24009,Bourassa,Bourassa,NDP,Saykaly,Stefano,,N
24009,Bourassa,Bourassa,Marxist-Leninist,Royer,Geneviève,,N
24009,Bourassa,Bourassa,Green,Lopinto,Noémi,,N
24009,Bourassa,Bourassa,Bloc,Provencher,Doris,,N
24009,Bourassa,Bourassa,Marijuana,Gauvin,Philippe,,N
24009,Bourassa,Bourassa,Conservative,Grenier,Frédéric,,N
24010,Brome--Missisquoi,Brome--Missisquoi,Liberal,Paradis,Denis,,Y
24010,Brome--Missisquoi,Brome--Missisquoi,Green,Martineau,Louise,,N
24010,Brome--Missisquoi,Brome--Missisquoi,NDP,Huggins,Piper,,N
