district_code,district_name_english,district_name_french,party,candidate_last,candidate_first,candidate_middle,incumbent
24036,Lotbinière--Chutes-de-la-Chaudière,Lotbinière--Chutes-de-la-Chaudière,Bloc,Desrochers,Odina,,Y
24036,Lotbinière--Chutes-de-la-Chaudière,Lotbinière--Chutes-de-la-Chaudière,Conservative,Landry,Jean,,N
24036,Lotbinière--Chutes-de-la-Chaudière,Lotbinière--Chutes-de-la-Chaudière,Green,MacDonald,Rama,Borne,N
24037,Louis-Hébert,Louis-Hébert,Liberal,Chalifour Scherrer,Hélène,,Y
24037,Louis-Hébert,Louis-Hébert,Green,Guay,Jean-Pierre,,N
24037,Louis-Hébert,Louis-Hébert,Conservative,Gauthier,Clermont,,N
24037,Louis-Hébert,Louis-Hébert,Bloc,Clavet,Roger,,N
24037,Louis-Hébert,Louis-Hébert,NDP,Turcotte,Robert,,N
24038,Louis-Saint-Laurent,Louis-Saint-Laurent,Liberal,Fragasso,Michel,,N
24038,Louis-Saint-Laurent,Louis-Saint-Laurent,Conservative,Verner,Josée,,N
24038,Louis-Saint-Laurent,Louis-Saint-Laurent,Independent,Gauvin,Henri,,N
24038,Louis-Saint-Laurent,Louis-Saint-Laurent,Independent,Carignan,Jean-Guy,,Y
24038,Louis-Saint-Laurent,Louis-Saint-Laurent,Communist,Théberge,Dominique,,N
24038,Louis-Saint-Laurent,Louis-Saint-Laurent,Bloc,Cleary,Bernard,,N
24038,Louis-Saint-Laurent,Louis-Saint-Laurent,Green,Bonaventure,Yonnel,,N
24038,Louis-Saint-Laurent,Louis-Saint-Laurent,NDP,Bojanowski,Christopher,,N
24039,Manicouagan,Manicouagan,Liberal,Detroio,Anthony,,N
24039,Manicouagan,Manicouagan,NDP,Ducasse,Pierre,,N
24039,Manicouagan,Manicouagan,Conservative,Paradis,Pierre,,N
24039,Manicouagan,Manicouagan,Bloc,Asselin,Gérard,,N
24039,Manicouagan,Manicouagan,Green,Parsons,Les,,N
24040,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,Liberal,Girard,Nancy,,N
24040,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,Conservative,Bissonnette,Marc,,N
24040,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,Bloc,Ménard ,Serge,,N
24040,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,NDP,Généreux,Lyse,,N
24040,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,Green,Bissonnette,Lise ,,N
24041,Matapédia--Matane,Matapédia--Matane,Liberal,Bélanger,Marc,,N
24041,Matapédia--Matane,Matapédia--Matane,Conservative,Fortin-Vidah,Vahid,,N
24041,Matapédia--Matane,Matapédia--Matane,Bloc,Roy,Jean-Yves,,Y
24041,Matapédia--Matane,Matapédia--Matane,NDP,Côté,Jean-Guy,,N
24041,Matapédia--Matane,Matapédia--Matane,Green,Deville,Nicolas,,N
24042,Mégantic--L'Érable,Mégantic--L'Érable,Liberal,Binet,Gérard,,N
24042,Mégantic--L'Érable,Mégantic--L'Érable,Conservative,Mailly,Yves,,N
24042,Mégantic--L'Érable,Mégantic--L'Érable,Bloc,Boulianne,Marc,,Y
24042,Mégantic--L'Érable,Mégantic--L'Érable,Green,Vézina,Bruno,,N
24042,Mégantic--L'Érable,Mégantic--L'Érable,NDP,Côté,Alexandre,,N
24043,Montcalm,Montcalm,Liberal,Brazeau,Daniel,,N
24043,Montcalm,Montcalm,NDP,Rivest,François,,N
24043,Montcalm,Montcalm,Bloc,Gaudet,Roger,,Y
24043,Montcalm,Montcalm,Conservative,Paulette,Michel,,N
24043,Montcalm,Montcalm,Green,Bellemare,Serge,,N
24044,Mount Royal,Mont-Royal,Liberal,Cotler,Irwin,,Y
24044,Mount Royal,Mont-Royal,Conservative,Fireman,Matthew,,N
24044,Mount Royal,Mont-Royal,Marijuana,Greenblatt,Adam,,N
24044,Mount Royal,Mont-Royal,Bloc,Gagnon,Vincent,,N
24044,Mount Royal,Mont-Royal,Marxist-Leninist,Johnston,Diane,,N
24044,Mount Royal,Mont-Royal,NDP,Beaudet,Sébastien,,N
24044,Mount Royal,Mont-Royal,Green,Sommerfeld,Adam,,N
24045,Notre-Dame-de-Grâce--Lachine,Notre-Dame-de-Grâce--Lachine,Liberal,Jennings,Marlene,,Y
24045,Notre-Dame-de-Grâce--Lachine,Notre-Dame-de-Grâce--Lachine,Libertarian,Wertheimer,Earl,,N
24045,Notre-Dame-de-Grâce--Lachine,Notre-Dame-de-Grâce--Lachine,Conservative,McCullock,William,R.,N
24045,Notre-Dame-de-Grâce--Lachine,Notre-Dame-de-Grâce--Lachine,Marijuana,Dell,Jay,,N
24045,Notre-Dame-de-Grâce--Lachine,Notre-Dame-de-Grâce--Lachine,Bloc,Chartré,Jean-Philippe,,N
24045,Notre-Dame-de-Grâce--Lachine,Notre-Dame-de-Grâce--Lachine,Marxist-Leninist,Hoffman,Rachel,,N
24045,Notre-Dame-de-Grâce--Lachine,Notre-Dame-de-Grâce--Lachine,Green,Gal,Jessica,,N
24045,Notre-Dame-de-Grâce--Lachine,Notre-Dame-de-Grâce--Lachine,NDP,Chávez,Maria Pia,,N
24046,Nunavik--Eeyou,Nunavik--Eeyou,Liberal,St-Julien,Guy,,Y
24046,Nunavik--Eeyou,Nunavik--Eeyou,Conservative,Dionne,François,,N
24046,Nunavik--Eeyou,Nunavik--Eeyou,Bloc,Lévesque,Yvon,,N
24046,Nunavik--Eeyou,Nunavik--Eeyou,Green,Fournier,Martin,,N
24046,Nunavik--Eeyou,Nunavik--Eeyou,NDP,Corbeil,Pierre,,N
24047,Outremont,Outremont,Liberal,Lapierre,Jean,,N
24047,Outremont,Outremont,Marijuana,Lacombe,Yan,,N
24047,Outremont,Outremont,Conservative,Rousseau,Marc,,N
24047,Outremont,Outremont,Bloc,Rebello,François,,N
24047,Outremont,Outremont,Marxist-Leninist,Sullivan,Linda,,N
24047,Outremont,Outremont,NDP,Aktouf,Omar,,N
24047,Outremont,Outremont,Green,Perceval-Maxwell,Shaun,,N
24048,Papineau,Papineau,Liberal,Pettigrew,Pierre,,Y
24048,Papineau,Papineau,Conservative,Sarker,Mustaque,,N
24048,Papineau,Papineau,Marijuana,Dusablon-Pelletier,Christelle,,N
24048,Papineau,Papineau,Independent,Garoufalis,Jimmy,,N
24048,Papineau,Papineau,Communist,Parizeau,André,,N
24048,Papineau,Papineau,Bloc,Carrière,Martine,,N
24048,Papineau,Papineau,Marxist-Leninist,Macrisopoulos,Peter,,N
24048,Papineau,Papineau,Green,Jastrzebski,Adam,,N
24048,Papineau,Papineau,NDP,Frappier,André,,N
24049,Pierrefonds--Dollard,Pierrefonds--Dollard,Liberal,Patry,Bernard,,Y
24049,Pierrefonds--Dollard,Pierrefonds--Dollard,Marxist-Leninist,Colly,Garnet,,N
24049,Pierrefonds--Dollard,Pierrefonds--Dollard,Green,Kouretas,Theodore,,N
24049,Pierrefonds--Dollard,Pierrefonds--Dollard,Conservative,Paine,Andrea,,N
24049,Pierrefonds--Dollard,Pierrefonds--Dollard,Marijuana,Labrecque,Jean-François,,N
24049,Pierrefonds--Dollard,Pierrefonds--Dollard,Bloc,Brunet,Marie-Hélène,,N
24049,Pierrefonds--Dollard,Pierrefonds--Dollard,NDP,Lustgarten,Danielle,,N
24050,Pontiac,Pontiac,Liberal,Smith,David,,N
24050,Pontiac,Pontiac,Conservative,Grant,Judith,,N
24050,Pontiac,Pontiac,Bloc,Leduc,L-Hubert,,N
24050,Pontiac,Pontiac,Marxist-Leninist,Legros,Benoit,,N
24050,Pontiac,Pontiac,Green,Vicente,Thierry,,N
24050,Pontiac,Pontiac,NDP,Schwarz,Gretchen,,N
24051,Portneuf,Portneuf,Liberal,Duplain,Claude,,Y
24051,Portneuf,Portneuf,Green,Poulin,Pierre,,N
24051,Portneuf,Portneuf,Bloc,Côté,Guy,,N
24051,Portneuf,Portneuf,Conservative,Bruce,Howard M.,,N
24051,Portneuf,Portneuf,NDP,Breton,Jean-François,,N
24052,Québec,Québec,Liberal,Côté,Jean-Philippe,,N
24052,Québec,Québec,Conservative,Gaudreault,Pierre,,N
24052,Québec,Québec,Marijuana,Paradis,Pierre-Etienne,,N
24052,Québec,Québec,Bloc,Gagnon,Christiane,,Y
24052,Québec,Québec,Green,Yaccarini,Antonine,,N
24052,Québec,Québec,Marxist-Leninist,Bédard,Jean,,N
24052,Québec,Québec,NDP,Fiset,Jean-Marie,,N
24053,Repentigny,Repentigny,Liberal,Brien,Lévis,,N
24053,Repentigny,Repentigny,NDP,Cardinal,André,,N
24053,Repentigny,Repentigny,Bloc,Sauvageau,Benoît,,Y
24053,Repentigny,Repentigny,Conservative,MacKenzie,Allen  F.,,N
24053,Repentigny,Repentigny,Marijuana,Boudreau,François,,N
24053,Repentigny,Repentigny,Green,Léveque,Jean-François,,N
24054,Richelieu,Richelieu,Liberal,Provencher,Ghislaine,,N
24054,Richelieu,Richelieu,Conservative,Proulx,Daniel A.,,N
24054,Richelieu,Richelieu,Marijuana,Blackburn,Daniel,,N
24054,Richelieu,Richelieu,Bloc,Plamondon,Louis,,Y
24054,Richelieu,Richelieu,Green,Bonenfant,Jean-Pierre,,N
24054,Richelieu,Richelieu,NDP,Bussières,Charles,,N
24055,Richmond--Arthabaska,Richmond--Arthabaska,Liberal,St-Pierre,Christine,,N
24055,Richmond--Arthabaska,Richmond--Arthabaska,Bloc,Bellavance,André,,N
24055,Richmond--Arthabaska,Richmond--Arthabaska,Green,Laforest,Lucie,,N
24055,Richmond--Arthabaska,Richmond--Arthabaska,Conservative,Poissant,Pierre,,N
24055,Richmond--Arthabaska,Richmond--Arthabaska,NDP,Noble,Jason,S.,N
24056,Rimouski--Témiscouata,Rimouski--Témiscouata,Liberal,Roy,Côme,,N
24056,Rimouski--Témiscouata,Rimouski--Témiscouata,Conservative,Quimper,Denis,,N
24056,Rimouski--Témiscouata,Rimouski--Témiscouata,Green,Delaunière,Marjolaine,,N
24056,Rimouski--Témiscouata,Rimouski--Témiscouata,Bloc,Thibault,Louise,,N
24056,Rimouski--Témiscouata,Rimouski--Témiscouata,NDP,Caron,Guy,,N
24057,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Liberal,Savignac,Yolaine,,N
24057,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Bloc,Perron,Gilles-A.,,Y
24057,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Green,Bédard,Marie Martine,,N
24057,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,Conservative,Gauthier,Érick,,N
24057,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,NDP,Du Cap ,Nicolas,,N
24058,Rivière-du-Loup--Montmagny,Rivière-du-Loup--Montmagny,Liberal,Mignault,Isabelle,,N
24058,Rivière-du-Loup--Montmagny,Rivière-du-Loup--Montmagny,Conservative,Drolet,Marc-André,,N
24058,Rivière-du-Loup--Montmagny,Rivière-du-Loup--Montmagny,Bloc,Crête,Paul,,Y
24058,Rivière-du-Loup--Montmagny,Rivière-du-Loup--Montmagny,Green,Clermont,André,,N
24058,Rivière-du-Loup--Montmagny,Rivière-du-Loup--Montmagny,NDP,Garon,Frédérick,,N
24059,Rivière-du-Nord,Rivière-du-Nord,Liberal,Auclair,Lorraine,,N
24059,Rivière-du-Nord,Rivière-du-Nord,Conservative,Brousseau,Catherine,,N
24059,Rivière-du-Nord,Rivière-du-Nord,Marijuana,Marcoux,Christian,,N
24059,Rivière-du-Nord,Rivière-du-Nord,NDP,Côté,François,,N
24059,Rivière-du-Nord,Rivière-du-Nord,Bloc,Guay,Monique,,Y
24059,Rivière-du-Nord,Rivière-du-Nord,Green,Poirier,Marcel,,N
24060,Roberval,Roberval,Liberal,Mallette,Michel,,N
24060,Roberval,Roberval,Conservative,Lavoie,Ghislain,,N
24060,Roberval,Roberval,Bloc,Gauthier,Michel,,Y
24060,Roberval,Roberval,Green,Gauthier,Marc-André,,N
24060,Roberval,Roberval,NDP,Tremblay,Isabelle,,N
24061,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Liberal,Bolduc,Christian,,N
24061,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Conservative,Sauvé,Michel,,N
24061,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Communist,Higham,Kenneth,,N
24061,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Bloc,Bigras,Bernard,,Y
24061,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,Green,Chevalier,François,,N
24061,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie,NDP,Beauchamp,Benoît,,N
24062,Saint-Bruno--Saint-Hubert,Saint-Bruno--Saint-Hubert,Liberal,Savard,Marc,,N
24062,Saint-Bruno--Saint-Hubert,Saint-Bruno--Saint-Hubert,Conservative,Mongeau,Jean-François,,N
24062,Saint-Bruno--Saint-Hubert,Saint-Bruno--Saint-Hubert,Marijuana,Vachon,David,,N
24062,Saint-Bruno--Saint-Hubert,Saint-Bruno--Saint-Hubert,Bloc,Lavallée,Carole,,N
24062,Saint-Bruno--Saint-Hubert,Saint-Bruno--Saint-Hubert,Green,Crawford,Janis ,,N
24062,Saint-Bruno--Saint-Hubert,Saint-Bruno--Saint-Hubert,NDP,Henretta,Marie,,N
24063,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Liberal,Gaudette,Michel,,N
24063,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Conservative,Champagne,Andrée,,N
24063,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Bloc,Loubier,Yvan,,Y
24063,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,Green,Godbout,Bruno,,N
24063,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot,NDP,Chevrier,Joëlle,,N
24064,Saint-Jean,Saint-Jean,Liberal,Fecteau,Michel,,N
24064,Saint-Jean,Saint-Jean,NDP,Trépanier,Jonathan,,N
24064,Saint-Jean,Saint-Jean,Green,Genest,Claude,,N
24064,Saint-Jean,Saint-Jean,Conservative,Khoury,Joseph,,N
24064,Saint-Jean,Saint-Jean,Bloc,Bachand,Claude,,Y
24065,Saint-Lambert,Saint-Lambert,Liberal,Thibeault,Yolande,,Y
24065,Saint-Lambert,Saint-Lambert,NDP,Garcia,Monique,,N
24065,Saint-Lambert,Saint-Lambert,Conservative,Clune,Patrick,,N
24065,Saint-Lambert,Saint-Lambert,Green,Joubert,Diane,,N
24065,Saint-Lambert,Saint-Lambert,Marxist-Leninist,Fournier,Normand,,N
24065,Saint-Lambert,Saint-Lambert,Bloc,Kotto,Maka,,N
24066,Saint-Laurent--Cartierville,Saint-Laurent--Cartierville,Liberal,Dion,Stéphane,,Y
24066,Saint-Laurent--Cartierville,Saint-Laurent--Cartierville,Conservative,Rahmé,Marc,,N
24066,Saint-Laurent--Cartierville,Saint-Laurent--Cartierville,Marijuana,Neron,Alex,,N
24066,Saint-Laurent--Cartierville,Saint-Laurent--Cartierville,NDP,Mahayni,Zaid,,N
24066,Saint-Laurent--Cartierville,Saint-Laurent--Cartierville,Marxist-Leninist,Deschamps,Fernand,,N
24066,Saint-Laurent--Cartierville,Saint-Laurent--Cartierville,Communist,Vargas,Nilda,,N
24066,Saint-Laurent--Cartierville,Saint-Laurent--Cartierville,Canadian Action,Fernandez,Ken,,N
24066,Saint-Laurent--Cartierville,Saint-Laurent--Cartierville,Bloc,Fayad,William,,N
24066,Saint-Laurent--Cartierville,Saint-Laurent--Cartierville,Green,Aladass,Almaz,,N
24067,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Liberal,Pacetti,Massimo,,Y
24067,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Conservative,Eslami,Payam,,N
24067,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Bloc,François,Paul-Alexis,,N
24067,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Marxist-Leninist,Chénier,Stéphane,,N
24067,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,Green,Fellicetti,Ricardo,,N
24067,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel,NDP,Colella,Laura,,N
24068,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Liberal,Bilodeau,Marie-Eve,,N
24068,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Green,Audette,Pierre,Cayou,N
24068,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Bloc,Gagnon,Marcel,,Y
24068,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Conservative,Toupin,Martial,,N
24068,Saint-Maurice--Champlain,Saint-Maurice--Champlain,Marijuana,Giroux,Paul,,N
24068,Saint-Maurice--Champlain,Saint-Maurice--Champlain,NDP,Allard,Pierre,J.C.,N
24069,Shefford,Shefford,Liberal,St-Jacques,Diane,,Y
24069,Shefford,Shefford,Conservative,Parenteau,Jacques,,N
24069,Shefford,Shefford,Bloc,Vincent,Robert,,N
24069,Shefford,Shefford,Green,Brière,Francine,,N
24069,Shefford,Shefford,NDP,Bisson,Sonia,,N
24070,Sherbrooke,Sherbrooke,Liberal,Béchard,Bruno-Marie,,N
24070,Sherbrooke,Sherbrooke,Bloc,Cardin,Serge,,Y
24070,Sherbrooke,Sherbrooke,Green,Champagne,Jeffrey,,N
24070,Sherbrooke,Sherbrooke,Conservative,Leblanc,Réal,,N
24070,Sherbrooke,Sherbrooke,NDP,Dion,Philippe,,N
24071,Terrebonne--Blainville,Terrebonne--Blainville,Liberal,Gingras,Pierre,,N
24071,Terrebonne--Blainville,Terrebonne--Blainville,Conservative,Légaré,Patrick,,N
24071,Terrebonne--Blainville,Terrebonne--Blainville,Bloc,Bourgeois,Diane,,Y
24071,Terrebonne--Blainville,Terrebonne--Blainville,Green,Drapeau,Martin,,N
24071,Terrebonne--Blainville,Terrebonne--Blainville,NDP,Beaudet,Normand,,N
24072,Trois-Rivières,Trois-Rivières,Liberal,Guindon,Jean-Éric,,N
24072,Trois-Rivières,Trois-Rivières,NDP,Tessier,Marc,,N
24072,Trois-Rivières,Trois-Rivières,Bloc,Brunelle,Paule,,N
24072,Trois-Rivières,Trois-Rivières,Green,Lavoie,Linda,,N
24072,Trois-Rivières,Trois-Rivières,Conservative,Mercier,Jean-Guy,,N
24073,Vaudreuil-Soulanges,Vaudreuil-Soulanges,Liberal,Discepola,Nick,,Y
24073,Vaudreuil-Soulanges,Vaudreuil-Soulanges,NDP,Markgraf,Bert,,N
24073,Vaudreuil-Soulanges,Vaudreuil-Soulanges,Marijuana,Soucy,Charles,,N
24073,Vaudreuil-Soulanges,Vaudreuil-Soulanges,Conservative,Ramage,Robert,,N
24073,Vaudreuil-Soulanges,Vaudreuil-Soulanges,Bloc,Faille,Meili,,N
24073,Vaudreuil-Soulanges,Vaudreuil-Soulanges,Green,Baribeau,Julie,C.,N
24074,Verchères--Les Patriotes,Verchères--Les Patriotes,Liberal,Tousignant,Nathalie,,N
24074,Verchères--Les Patriotes,Verchères--Les Patriotes,Conservative,Rémillard,Francis-Pierre,,N
24074,Verchères--Les Patriotes,Verchères--Les Patriotes,Marijuana,Drouin,Sébastien,,N
24074,Verchères--Les Patriotes,Verchères--Les Patriotes,Bloc,Bergeron,Stéphane,,Y
24074,Verchères--Les Patriotes,Verchères--Les Patriotes,Green,Morlighem,Philippe,,N
24074,Verchères--Les Patriotes,Verchères--Les Patriotes,NDP,Vallée,Simon,,N
24075,Westmount--Ville-Marie,Westmount--Ville-Marie,Liberal,Robillard,Lucienne,,Y
24075,Westmount--Ville-Marie,Westmount--Ville-Marie,Green,Sarwer-Foner,Brian,,N
24075,Westmount--Ville-Marie,Westmount--Ville-Marie,NDP,Steedman,Eric Wilson,,N
24075,Westmount--Ville-Marie,Westmount--Ville-Marie,Marijuana,Proctor,David John,,N
24075,Westmount--Ville-Marie,Westmount--Ville-Marie,Conservative,Gervais,Robert,,N
24075,Westmount--Ville-Marie,Westmount--Ville-Marie,Bloc,La Rochelle,Louis,,N
24075,Westmount--Ville-Marie,Westmount--Ville-Marie,Marxist-Leninist,Lachapelle,Serge,,N
35001,Ajax--Pickering,Ajax--Pickering,Liberal,Holland,Mark,,N
35001,Ajax--Pickering,Ajax--Pickering,Conservative,Soetens,René,,N
35001,Ajax--Pickering,Ajax--Pickering,NDP,Modeste,Kevin,,N
35001,Ajax--Pickering,Ajax--Pickering,Green,MacDonald,Karen,,N
35002,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing,Liberal,St. Denis,Brent,,Y
35002,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing,NDP,Hughes,Carol,,N
35002,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing,Conservative,Armstrong,Blaine,,N
35002,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing,Green,Killen,Lindsay,,N
35003,Ancaster--Dundas--Flamborough--Westdale,Ancaster--Dundas--Flamborough--Westdale,Liberal,Powers ,Russ,,N
35003,Ancaster--Dundas--Flamborough--Westdale,Ancaster--Dundas--Flamborough--Westdale,NDP,Guyatt,Gordon,,N
35003,Ancaster--Dundas--Flamborough--Westdale,Ancaster--Dundas--Flamborough--Westdale,Green,Januczkowski,David,,N
35003,Ancaster--Dundas--Flamborough--Westdale,Ancaster--Dundas--Flamborough--Westdale,Conservative,Sweet,David,,N
35004,Barrie,Barrie,Liberal,Carroll,Aileen,,Y
35004,Barrie,Barrie,NDP,Bursztyn,Peter,,N
35004,Barrie,Barrie,Conservative,Brown,Patrick,,N
35004,Barrie,Barrie,Green,Jacoby-Hawkins,Erich,,N
35005,Beaches--East York,Beaches--East York,Liberal,Minna,Maria,,Y
35005,Beaches--East York,Beaches--East York,Conservative,Nikopoulos,Nick,,N
35005,Beaches--East York,Beaches--East York,Marijuana,Dufresne,Daniel,,N
35005,Beaches--East York,Beaches--East York,Independent,Slota,Edward,,N
35005,Beaches--East York,Beaches--East York,Communist,Figueroa,Miguel,,N
35005,Beaches--East York,Beaches--East York,Marxist-Leninist,Carter,Roger,,N
35005,Beaches--East York,Beaches--East York,NDP,Tabuns,Peter,,N
35005,Beaches--East York,Beaches--East York,Green,Davison,Peter,,N
35006,Bramalea--Gore--Malton,Bramalea--Gore--Malton,Liberal,Malhi,Gurbax,S.,Y
35006,Bramalea--Gore--Malton,Bramalea--Gore--Malton,NDP,Miranda,Fernando,,N
35006,Bramalea--Gore--Malton,Bramalea--Gore--Malton,Conservative,Gill,Raminder,,N
35006,Bramalea--Gore--Malton,Bramalea--Gore--Malton,Marxist-Leninist,Chilelli,Frank,,N
35006,Bramalea--Gore--Malton,Bramalea--Gore--Malton,Green,McDowall,Sharleen,,N
35007,Brampton--Springdale,Brampton--Springdale,Liberal,Dhalla,Ruby,,N
35007,Brampton--Springdale,Brampton--Springdale,Conservative,Hundal,Sam,,N
35007,Brampton--Springdale,Brampton--Springdale,Communist,Mattu,Gurdev Singh,,N
35007,Brampton--Springdale,Brampton--Springdale,NDP,Pounder,Kathy,,N
35007,Brampton--Springdale,Brampton--Springdale,Green,Hudson,Nick,,N
35008,Brampton West,Brampton-Ouest,Liberal,Beaumier,Colleen,,Y
35008,Brampton West,Brampton-Ouest,Conservative,Clement,Tony,,N
35008,Brampton West,Brampton-Ouest,Independent,Bose,Tom,,N
35008,Brampton West,Brampton-Ouest,Green,Goel,Sanjeev,,N
35008,Brampton West,Brampton-Ouest,NDP,Moise,Chris,,N
35009,Brant,Brant,Liberal,St. Amand,Lloyd,,N
35009,Brant,Brant,Independent,Turmel,John,C. ,N
35009,Brant,Brant,Conservative,Martin,Greg,,N
35009,Brant,Brant,Christian Heritage,Gots,Barra,L.,N
35009,Brant,Brant,Green,Embry,Helen-Anne,,N
35009,Brant,Brant,NDP,Bowering,Lynn,,N
35010,Burlington,Burlington,Liberal,Torsney,Paddy,,Y
35010,Burlington,Burlington,NDP,Laird,David,Carter,N
35010,Burlington,Burlington,Green,Reid,Angela,,N
35010,Burlington,Burlington,Conservative,Wallace,Mike,,N
35010,Burlington,Burlington,Christian Heritage,Wubs,John Herman,,N
35011,Cambridge,Cambridge,Liberal,Peric,Janko,,Y
35011,Cambridge,Cambridge,NDP,Price,Gary,,N
35011,Cambridge,Cambridge,Independent,Gryc,Alex,W.,N
35011,Cambridge,Cambridge,Green,White,Gareth,M.,N
35011,Cambridge,Cambridge,Christian Heritage,Gots,John,G. ,N
35011,Cambridge,Cambridge,Conservative,Goodyear,Gary,,N
35011,Cambridge,Cambridge,Independent,Oprea,John,,N
35012,Carleton--Lanark,Carleton--Lanark,Liberal,Wicklum,Dan,,N
35012,Carleton--Lanark,Carleton--Lanark,Green,Langstaff,Stuart,,N
35012,Carleton--Lanark,Carleton--Lanark,Conservative,O'Connor,Gordon,,N
35012,Carleton--Lanark,Carleton--Lanark,NDP,Prashaw,Rick,,N
35013,Chatham-Kent--Essex,Chatham-Kent--Essex,Liberal,Pickard,Jerry,,Y
35013,Chatham-Kent--Essex,Chatham-Kent--Essex,NDP,Kevany,Kathleen,,N
35013,Chatham-Kent--Essex,Chatham-Kent--Essex,Conservative,Van Kesteren,Dave,,N
35013,Chatham-Kent--Essex,Chatham-Kent--Essex,Marxist-Leninist,Mondaca,Margaret,,N
35013,Chatham-Kent--Essex,Chatham-Kent--Essex,Green,Hetherington,Rod,,N
35014,Clarington--Scugog--Uxbridge,Clarington--Scugog--Uxbridge,Liberal,Lang,Tim,,N
35014,Clarington--Scugog--Uxbridge,Clarington--Scugog--Uxbridge,Conservative,Oda,Bev,,N
35014,Clarington--Scugog--Uxbridge,Clarington--Scugog--Uxbridge,Christian Heritage,Bruinsma,Durk,,N
35014,Clarington--Scugog--Uxbridge,Clarington--Scugog--Uxbridge,Green,Ervin,Virginia,,N
35014,Clarington--Scugog--Uxbridge,Clarington--Scugog--Uxbridge,NDP,Rogers,Bruce,,N
35015,Davenport,Davenport,Liberal,Silva,Mario,,N
35015,Davenport,Davenport,Conservative,Rodrigues,Theresa,,N
35015,Davenport,Davenport,Marijuana,Gale,Elmer,,N
35015,Davenport,Davenport,Canadian Action,Riddell,John,,N
35015,Davenport,Davenport,NDP,Pires,Rui,,N
35015,Davenport,Davenport,Green,O'Brien,Mark,,N
35015,Davenport,Davenport,Communist,Boyden,Johan,,N
35015,Davenport,Davenport,Marxist-Leninist,Thompson,Sarah,,N
35016,Don Valley East,Don Valley-Est,Liberal,Ratansi,Yasmin,,N
35016,Don Valley East,Don Valley-Est,Green,King,Dan,,N
35016,Don Valley East,Don Valley-Est,Conservative,Johnson,David,,N
35016,Don Valley East,Don Valley-Est,Christian Heritage,Kidd,Ryan,,N
35016,Don Valley East,Don Valley-Est,Communist,Black,Christopher,,N
35016,Don Valley East,Don Valley-Est,NDP,Mah,Valerie,,N
35017,Don Valley West,Don Valley-Ouest,Liberal,Godfrey,John,,Y
35017,Don Valley West,Don Valley-Ouest,NDP,Thomas,David,,N
35017,Don Valley West,Don Valley-Ouest,Conservative,Turnbull,David,,N
35017,Don Valley West,Don Valley-Ouest,Green,Abbat,Serge,,N
35018,Dufferin--Caledon,Dufferin--Caledon,Liberal,Calder,Murray,,Y
35018,Dufferin--Caledon,Dufferin--Caledon,NDP,Landry,Rita,,N
35018,Dufferin--Caledon,Dufferin--Caledon,Conservative,Tilson,David,,N
35018,Dufferin--Caledon,Dufferin--Caledon,Christian Heritage,Ellis,Ursula,,N
35018,Dufferin--Caledon,Dufferin--Caledon,Green,Alexander,Ted,,N
35019,Eglinton--Lawrence,Eglinton--Lawrence,Liberal,Volpe,Joseph,,Y
