Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35108,"Toronto Centre","Toronto-Centre"," 8","Toronto",N,N,"",1,397,"Biggin","","Colin","Green Party","Parti Vert",N,N,6
35108,"Toronto Centre","Toronto-Centre"," 8","Toronto",N,N,"",1,397,"Di Battista","","Julian","Conservative","Conservateur",N,N,19
35108,"Toronto Centre","Toronto-Centre"," 8","Toronto",N,N,"",1,397,"Fernandez","","Philip","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 8","Toronto",N,N,"",1,397,"McQuaig","","Linda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,72
35108,"Toronto Centre","Toronto-Centre"," 8","Toronto",N,N,"",1,397,"Morneau","","Bill","Liberal","Libéral",N,Y,112
35108,"Toronto Centre","Toronto-Centre"," 8","Toronto",N,N,"",1,397,"Stone","","Jordan","Independent","Indépendant",N,N,2
35108,"Toronto Centre","Toronto-Centre"," 9","Toronto",N,N,"",0,333,"Ahmad","","Mariam","Communist","Communiste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 9","Toronto",N,N,"",0,333,"Biggin","","Colin","Green Party","Parti Vert",N,N,3
35108,"Toronto Centre","Toronto-Centre"," 9","Toronto",N,N,"",0,333,"Di Battista","","Julian","Conservative","Conservateur",N,N,17
35108,"Toronto Centre","Toronto-Centre"," 9","Toronto",N,N,"",0,333,"Fernandez","","Philip","Marxist-Leninist","Marxiste-Léniniste",N,N,1
35108,"Toronto Centre","Toronto-Centre"," 9","Toronto",N,N,"",0,333,"McQuaig","","Linda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,58
35108,"Toronto Centre","Toronto-Centre"," 9","Toronto",N,N,"",0,333,"Morneau","","Bill","Liberal","Libéral",N,Y,115
35108,"Toronto Centre","Toronto-Centre"," 9","Toronto",N,N,"",0,333,"Stone","","Jordan","Independent","Indépendant",N,N,1
35108,"Toronto Centre","Toronto-Centre"," 10","Toronto",N,N,"",4,488,"Ahmad","","Mariam","Communist","Communiste",N,N,2
35108,"Toronto Centre","Toronto-Centre"," 10","Toronto",N,N,"",4,488,"Biggin","","Colin","Green Party","Parti Vert",N,N,4
35108,"Toronto Centre","Toronto-Centre"," 10","Toronto",N,N,"",4,488,"Di Battista","","Julian","Conservative","Conservateur",N,N,23
35108,"Toronto Centre","Toronto-Centre"," 10","Toronto",N,N,"",4,488,"Fernandez","","Philip","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 10","Toronto",N,N,"",4,488,"McQuaig","","Linda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,114
35108,"Toronto Centre","Toronto-Centre"," 10","Toronto",N,N,"",4,488,"Morneau","","Bill","Liberal","Libéral",N,Y,136
35108,"Toronto Centre","Toronto-Centre"," 10","Toronto",N,N,"",4,488,"Stone","","Jordan","Independent","Indépendant",N,N,1
35108,"Toronto Centre","Toronto-Centre"," 11","Toronto",N,N,"",5,329,"Ahmad","","Mariam","Communist","Communiste",N,N,4
35108,"Toronto Centre","Toronto-Centre"," 11","Toronto",N,N,"",5,329,"Biggin","","Colin","Green Party","Parti Vert",N,N,4
35108,"Toronto Centre","Toronto-Centre"," 11","Toronto",N,N,"",5,329,"Di Battista","","Julian","Conservative","Conservateur",N,N,17
35108,"Toronto Centre","Toronto-Centre"," 11","Toronto",N,N,"",5,329,"Fernandez","","Philip","Marxist-Leninist","Marxiste-Léniniste",N,N,2
35108,"Toronto Centre","Toronto-Centre"," 11","Toronto",N,N,"",5,329,"McQuaig","","Linda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,53
35108,"Toronto Centre","Toronto-Centre"," 11","Toronto",N,N,"",5,329,"Morneau","","Bill","Liberal","Libéral",N,Y,70
35108,"Toronto Centre","Toronto-Centre"," 11","Toronto",N,N,"",5,329,"Stone","","Jordan","Independent","Indépendant",N,N,5
35108,"Toronto Centre","Toronto-Centre"," 12","Toronto",N,N,"",1,390,"Ahmad","","Mariam","Communist","Communiste",N,N,1
35108,"Toronto Centre","Toronto-Centre"," 12","Toronto",N,N,"",1,390,"Biggin","","Colin","Green Party","Parti Vert",N,N,5
35108,"Toronto Centre","Toronto-Centre"," 12","Toronto",N,N,"",1,390,"Di Battista","","Julian","Conservative","Conservateur",N,N,33
35108,"Toronto Centre","Toronto-Centre"," 12","Toronto",N,N,"",1,390,"Fernandez","","Philip","Marxist-Leninist","Marxiste-Léniniste",N,N,0
